System No,Solute,Solvent 1,Solvent 2,Xs_Exper,x1,x2,xs1p,xs2p,Temp
14.0,Benzil,CCl4,Cyclooctane,0.02394,0.3476,0.6524,0.08082,0.01454,298.0
14.0,Benzil,CCl4,Cyclooctane,0.02768,0.4161,0.5839,0.08082,0.01454,298.0
14.0,Benzil,CCl4,Cyclooctane,0.03726,0.5842,0.4158,0.08082,0.01454,298.0
14.0,Benzil,CCl4,Cyclooctane,0.04864,0.7425,0.2575,0.08082,0.01454,298.0
14.0,Benzil,CCl4,Cyclooctane,0.05762,0.8227,0.1773,0.08082,0.01454,298.0
14.0,Benzil,CCl4,Cyclooctane,0.08082,1.0,0.0,0.08082,0.01454,298.0
15.0,Niflumic acid,Ethanol,Water,5.45e-06,0.0,1.0,0.01613,5.45e-06,298.0
15.0,Niflumic acid,Ethanol,Water,8.75e-06,0.1,0.9,0.01613,5.45e-06,298.0
15.0,Niflumic acid,Ethanol,Water,1.34e-05,0.2,0.8,0.01613,5.45e-06,298.0
15.0,Niflumic acid,Ethanol,Water,2.61e-05,0.3,0.7,0.01613,5.45e-06,298.0
15.0,Niflumic acid,Ethanol,Water,5.41e-05,0.4,0.6,0.01613,5.45e-06,298.0
15.0,Niflumic acid,Ethanol,Water,0.000146,0.5,0.5,0.01613,5.45e-06,298.0
15.0,Niflumic acid,Ethanol,Water,0.000971,0.7,0.3,0.01613,5.45e-06,298.0
15.0,Niflumic acid,Ethanol,Water,0.00684,0.9,0.1,0.01613,5.45e-06,298.0
15.0,Niflumic acid,Ethanol,Water,0.01613,1.0,0.0,0.01613,5.45e-06,298.0
15.0,Niflumic acid,Ethanol,Water,5.63e-06,0.0,1.0,0.0185,5.63e-06,303.0
15.0,Niflumic acid,Ethanol,Water,9.15e-06,0.1,0.9,0.0185,5.63e-06,303.0
15.0,Niflumic acid,Ethanol,Water,1.46e-05,0.2,0.8,0.0185,5.63e-06,303.0
15.0,Niflumic acid,Ethanol,Water,2.88e-05,0.3,0.7,0.0185,5.63e-06,303.0
15.0,Niflumic acid,Ethanol,Water,6.71e-05,0.4,0.6,0.0185,5.63e-06,303.0
15.0,Niflumic acid,Ethanol,Water,0.000182,0.5,0.5,0.0185,5.63e-06,303.0
15.0,Niflumic acid,Ethanol,Water,0.00119,0.7,0.3,0.0185,5.63e-06,303.0
15.0,Niflumic acid,Ethanol,Water,0.009,0.9,0.1,0.0185,5.63e-06,303.0
15.0,Niflumic acid,Ethanol,Water,0.0185,1.0,0.0,0.0185,5.63e-06,303.0
16.0,Niflumic acid,Ethyl Acetate,Ethanol,0.01613,0.0,1.0,0.0254,0.01613,298.0
16.0,Niflumic acid,Ethyl Acetate,Ethanol,0.024,0.1,0.9,0.0254,0.01613,298.0
16.0,Niflumic acid,Ethyl Acetate,Ethanol,0.0352,0.3,0.7,0.0254,0.01613,298.0
16.0,Niflumic acid,Ethyl Acetate,Ethanol,0.0482,0.5,0.5,0.0254,0.01613,298.0
16.0,Niflumic acid,Ethyl Acetate,Ethanol,0.0542,0.6,0.4,0.0254,0.01613,298.0
16.0,Niflumic acid,Ethyl Acetate,Ethanol,0.055,0.7,0.3,0.0254,0.01613,298.0
16.0,Niflumic acid,Ethyl Acetate,Ethanol,0.0524,0.8,0.2,0.0254,0.01613,298.0
16.0,Niflumic acid,Ethyl Acetate,Ethanol,0.0374,0.9,0.1,0.0254,0.01613,298.0
16.0,Niflumic acid,Ethyl Acetate,Ethanol,0.0254,1.0,0.0,0.0254,0.01613,298.0
16.0,Niflumic acid,Ethyl Acetate,Ethanol,0.0185,0.0,1.0,0.0264,0.0185,303.0
16.0,Niflumic acid,Ethyl Acetate,Ethanol,0.0266,0.1,0.9,0.0264,0.0185,303.0
16.0,Niflumic acid,Ethyl Acetate,Ethanol,0.04,0.3,0.7,0.0264,0.0185,303.0
16.0,Niflumic acid,Ethyl Acetate,Ethanol,0.051,0.5,0.5,0.0264,0.0185,303.0
16.0,Niflumic acid,Ethyl Acetate,Ethanol,0.057,0.6,0.4,0.0264,0.0185,303.0
16.0,Niflumic acid,Ethyl Acetate,Ethanol,0.058,0.7,0.3,0.0264,0.0185,303.0
16.0,Niflumic acid,Ethyl Acetate,Ethanol,0.0528,0.8,0.2,0.0264,0.0185,303.0
16.0,Niflumic acid,Ethyl Acetate,Ethanol,0.0386,0.9,0.1,0.0264,0.0185,303.0
16.0,Niflumic acid,Ethyl Acetate,Ethanol,0.0264,1.0,0.0,0.0264,0.0185,303.0
17.0,Caffeine,Water,Ethanol,0.0017,0.0,1.0,0.00209,0.0017,298.0
17.0,Caffeine,Water,Ethanol,0.00603,0.1,0.9,0.00209,0.0017,298.0
17.0,Caffeine,Water,Ethanol,0.01151,0.2,0.8,0.00209,0.0017,298.0
17.0,Caffeine,Water,Ethanol,0.01439,0.3,0.7,0.00209,0.0017,298.0
17.0,Caffeine,Water,Ethanol,0.0147,0.4,0.6,0.00209,0.0017,298.0
