System no.,AMR,apol,Si,McG_Vol,VABC,MLFER_A,MLFER_BH,MLFER_S,MLFER_E,MW,TopoPSA,SolvAccSA
41,-0.3731706003163157,-0.6059453082778211,-0.8387865476338406,-0.8893733255545307,-1.0230749828859231,-1.192511027148,-1.4547001781661477,-1.2642340788156656,-0.09725483372425515,-1.271567116268032,0.0,491.3750998
42,1.3687472409798176,1.606957809901302,1.6068474091071048,1.592297192072057,1.5809865210600058,1.1093239632927845,-0.006768006087634082,-0.19974198533957951,0.18310628788649647,1.219658239914957,46.53,530.8326118
43,-0.9656355280076684,-1.1813366398862286,-1.3406944477228546,-1.000865053991034,-0.8326013023043369,1.1093239632927845,-0.7902925452745446,-0.9353304674702363,-1.159094987226393,-0.5894957639059375,37.3,365.9606757
44,-0.9656355280076684,-1.1813366398862286,-1.3406944477228546,-1.000865053991034,-0.8326013023043369,1.3246316579768718,-0.7902925452745446,-0.9353304674702363,-1.159094987226393,-0.5894957639059375,37.3,414.4300426
45,-1.2916749581149765,-1.2482192898061308,-0.8728872721087745,-1.1511829753974385,-1.0903026337078432,-0.5896494820325564,0.5596990594056053,0.018045541091853814,-0.8235446684481706,-1.0032782904622208,63.32,368.9528382
46,-1.357790356977454,-1.3579519338293236,-1.0714520010687212,-1.2277667505215548,-1.12724643648222,0.1032498263144146,-0.687057893151945,0.18471966846284846,-0.5851273366846966,-1.0278855408693113,71.84,428.3228771
47,-0.8343074917475984,-0.789273815688421,-0.5710796917843217,-0.7258758707546735,-0.52782188319916,0.9331631221876228,0.05676101060319656,-0.4575313023400511,-1.2341522953741533,-0.6859510241142281,46.53,409.0684729
48,-0.6803391482234464,-0.6304999730939912,-0.35913878125059445,-0.5794761890057815,-0.46598306772217496,-0.22558374374855472,-0.02794434498457763,-0.15529555137398088,-1.0089803709308724,-0.7099769372153043,52.32,400.3775841
49,-0.49428317789479576,-0.28016923406694133,-0.009527111456535484,-0.2239849909877922,-0.04309631697858289,0.9331631221876228,0.05676101060319656,-0.4575313023400511,-1.2341522953741533,-0.34374223051614655,46.53,477.2639982
50,-0.34031483437064314,-0.12139539147251142,0.2024137966386546,-0.07758530923890095,0.01874249849840215,-0.22558374374855472,-0.02794434498457763,-0.15529555137398088,-1.0089803709308724,-0.36776814361722276,52.32,468.5731094
51,-0.2145855029849022,0.2289353475545378,0.5520254688712507,0.27790588877908917,0.4416292520445272,0.9331631221876228,0.05676101060319656,-0.4575313023400511,-1.2341522953741533,-0.0015334393596832545,46.53,507.7935048
52,-0.06061715946075016,0.3877091901489677,0.7639663769664408,0.4243055705279804,0.5034680675215114,-0.22558374374855472,-0.02794434498457763,-0.15529555137398088,-1.0089803709308724,-0.025559350019141173,52.32,499.1026159
53,0.015982942730739146,0.7380399291760175,1.1135780467604999,0.7797967685459705,0.9263548182651044,0.9331631221876228,0.05676101060319656,-0.4575313023400511,-1.2341522953741533,0.34067535423839834,46.53,534.507318
54,0.1699512862548912,0.8968137717704469,1.325518957294227,0.9261964502948618,0.9881936337420886,-0.22558374374855472,-0.02794434498457763,-0.15529555137398088,-1.0089803709308724,0.31664944113732213,52.32,525.8164291
55,-0.7214385517563553,-0.6304999730939912,-0.35913878125059445,-0.5794761890057815,-0.46598306772217496,0.576926754619406,0.26058327248627794,0.7114099109551921,-0.5917500403447934,-0.7099769372153043,49.33,452.6466418
56,-0.7214385517563553,-0.6304999730939912,-0.35913878125059445,-0.5794761890057815,-0.46598306772217496,0.576926754619406,0.26058327248627794,0.7114099109551921,-0.5917500403447934,-0.7099769372153043,49.33,452.6466418
57,-0.7214385517563553,-0.6304999730939912,-0.35913878125059445,-0.5794761890057815,-0.46598306772217496,0.576926754619406,0.26058327248627794,0.7114099109551921,-0.5917500403447934,-0.7099769372153043,49.33,452.6466418
58,-0.7214385517563553,-0.6304999730939912,-0.35913878125059445,-0.5794761890057815,-0.46598306772217496,0.576926754619406,0.26058327248627794,0.7114099109551921,-0.5917500403447934,-0.7099769372153043,49.33,452.6466418
